                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.6586,                 2.1923,                 2.0667,                0.71883,                0.42416,                0.52317,                0.28738,                 1.5739,                 1.7601,                 2.1116,               0.003367,               0.003367,               0.003367
                     69,                 1.6179,                 2.1654,                 2.0721,                0.62815,                0.46794,                0.52126,                0.28951,                  1.584,                 1.7748,                  2.116,               0.003268,               0.003268,               0.003268
                     70,                 1.6429,                 2.1503,                 2.0629,                 0.7172,                 0.4601,                0.52893,                0.30244,                  1.539,                 1.7134,                 2.0686,               0.003169,               0.003169,               0.003169
                     71,                 1.6101,                 2.0813,                 2.0321,                0.64301,                0.45581,                0.50651,                0.29186,                 1.5583,                 1.7454,                 2.1068,                0.00307,                0.00307,                0.00307
                     72,                 1.6183,                 2.1677,                 2.0432,                0.72536,                0.44719,                0.53563,                0.31045,                 1.5284,                 1.6807,                 2.0565,               0.002971,               0.002971,               0.002971
                     73,                 1.5971,                 2.1002,                  2.024,                0.70593,                0.46593,                0.54782,                0.31945,                 1.4986,                 1.6529,                 2.0114,               0.002872,               0.002872,               0.002872
                     74,                 1.6185,                 2.1279,                 2.0424,                0.74182,                0.48502,                0.55053,                0.32472,                 1.5008,                 1.6964,                 2.0353,               0.002773,               0.002773,               0.002773
                     75,                 1.6384,                 2.1448,                 2.0558,                0.65995,                0.52112,                0.55197,                0.33102,                 1.4977,                 1.6662,                 2.0262,               0.002674,               0.002674,               0.002674
                     76,                 1.6203,                  2.122,                 2.0438,                0.70431,                0.53205,                0.55296,                0.32846,                 1.4756,                 1.6208,                  2.023,               0.002575,               0.002575,               0.002575
                     77,                 1.6025,                 2.0555,                 2.0428,                 0.7201,                0.49038,                0.54578,                  0.307,                 1.5258,                 1.6527,                 2.0544,               0.002476,               0.002476,               0.002476
                     78,                 1.5581,                 2.0432,                 1.9956,                 0.7217,                0.50061,                0.55838,                 0.3229,                 1.5058,                 1.6157,                 2.0379,               0.002377,               0.002377,               0.002377
                     79,                 1.5784,                 2.0754,                 2.0146,                0.70982,                0.51547,                0.57579,                0.33885,                  1.475,                 1.6087,                 2.0017,               0.002278,               0.002278,               0.002278
                     80,                 1.5489,                 2.0234,                 1.9867,                0.67432,                0.55367,                0.58457,                0.35282,                 1.4541,                 1.5787,                 1.9817,               0.002179,               0.002179,               0.002179
                     81,                 1.5811,                 2.0429,                 2.0047,                 0.6734,                0.55479,                 0.5648,                0.33285,                 1.4765,                 1.6224,                 2.0129,                0.00208,                0.00208,                0.00208
                     82,                 1.5678,                 2.0256,                  2.001,                0.66251,                0.51121,                0.56375,                0.32763,                 1.4929,                 1.6165,                 2.0294,               0.001981,               0.001981,               0.001981
                     83,                 1.5604,                 2.0048,                 2.0102,                0.69132,                0.54909,                0.59561,                 0.3579,                  1.462,                 1.5336,                 1.9929,               0.001882,               0.001882,               0.001882
                     84,                 1.5679,                 1.9812,                 1.9853,                0.75871,                0.52849,                0.60257,                0.35834,                 1.4568,                 1.5477,                 1.9852,               0.001783,               0.001783,               0.001783
                     85,                 1.5605,                 1.9906,                 1.9976,                0.77802,                 0.5023,                0.60132,                0.36666,                  1.408,                 1.4955,                 1.9502,               0.001684,               0.001684,               0.001684
                     86,                 1.5553,                 1.9528,                 1.9801,                0.77559,                  0.544,                 0.6121,                0.38019,                 1.4003,                  1.477,                 1.9387,               0.001585,               0.001585,               0.001585
                     87,                  1.541,                 1.9868,                 1.9808,                0.78914,                0.54666,                0.62316,                0.39159,                  1.414,                 1.4742,                 1.9409,               0.001486,               0.001486,               0.001486
                     88,                 1.5064,                 1.9257,                 1.9342,                0.77676,                0.52956,                0.62719,                0.39118,                 1.3931,                 1.4607,                 1.9356,               0.001387,               0.001387,               0.001387
                     89,                 1.5241,                 1.9588,                 1.9407,                0.76059,                0.56288,                0.63689,                0.39836,                  1.381,                 1.4303,                 1.9287,               0.001288,               0.001288,               0.001288
                     90,                 1.5296,                 1.9538,                 2.0317,                0.72435,                0.51188,                0.57529,                0.31373,                 1.5713,                 1.6078,                 2.1113,               0.001189,               0.001189,               0.001189
                     91,                 1.5005,                  1.826,                 2.0181,                0.80502,                0.52403,                0.62786,                0.38616,                 1.4162,                 1.4808,                 1.9445,                0.00109,                0.00109,                0.00109
                     92,                 1.4508,                 1.7474,                 1.9762,                0.79556,                0.54699,                0.64037,                0.40268,                 1.3729,                 1.4235,                 1.9043,               0.000991,               0.000991,               0.000991
                     93,                  1.433,                 1.6803,                 1.9586,                0.75184,                 0.5833,                0.64358,                0.39739,                 1.3754,                  1.416,                 1.9036,               0.000892,               0.000892,               0.000892
                     94,                  1.431,                 1.7046,                 1.9639,                0.74985,                0.60732,                0.65545,                0.40036,                 1.3827,                 1.4097,                 1.9075,               0.000793,               0.000793,               0.000793
                     95,                  1.428,                 1.6807,                 1.9637,                0.83352,                0.56588,                0.67138,                0.41918,                 1.3505,                 1.3793,                 1.8814,               0.000694,               0.000694,               0.000694
                     96,                 1.4052,                 1.6491,                 1.9231,                0.80292,                0.58608,                0.67137,                0.42513,                 1.3225,                 1.3638,                 1.8521,               0.000595,               0.000595,               0.000595
                     97,                 1.4018,                 1.6283,                 1.9253,                0.77892,                0.61471,                0.67469,                0.43256,                 1.3078,                 1.3512,                  1.836,               0.000496,               0.000496,               0.000496
                     98,                 1.3792,                 1.6334,                 1.9223,                0.79112,                0.60671,                 0.6796,                0.43442,                 1.3068,                  1.345,                 1.8389,               0.000397,               0.000397,               0.000397
                     99,                 1.4063,                 1.6202,                 1.9456,                0.77542,                0.61946,                0.68455,                0.44293,                 1.2969,                 1.3253,                 1.8276,               0.000298,               0.000298,               0.000298
