                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.7817,                  2.499,                  2.175,                0.48824,                0.36197,                0.33879,                0.16982,                 1.7927,                 2.2276,                 2.2961,               0.009903,               0.009903,               0.009903
                     51,                 1.7901,                 2.4446,                 2.1824,                0.50496,                0.33982,                0.34488,                0.18118,                 1.7914,                 2.2698,                 2.3021,               0.009901,               0.009901,               0.009901
                     52,                 1.7793,                 2.4394,                 2.1577,                0.66073,                0.35124,                0.38713,                0.19423,                  1.774,                 2.1627,                 2.3088,               0.009899,               0.009899,               0.009899
                     53,                 1.7254,                 2.3802,                 2.1454,                0.51209,                0.40415,                0.37161,                0.18917,                 1.7567,                 2.1565,                 2.2351,               0.009897,               0.009897,               0.009897
                     54,                  1.689,                 2.3529,                 2.0983,                0.64909,                0.36062,                0.38269,                0.20057,                  1.728,                  2.104,                 2.2468,              0.0098951,              0.0098951,              0.0098951
                     55,                 1.7144,                 2.3906,                 2.1034,                 0.4622,                0.37058,                0.35004,                0.16981,                  1.771,                 2.1749,                 2.3397,              0.0098931,              0.0098931,              0.0098931
                     56,                 1.6814,                 2.3245,                 2.0689,                 0.5712,                0.38716,                0.40615,                0.20466,                 1.6938,                 2.0447,                  2.263,              0.0098911,              0.0098911,              0.0098911
                     57,                 1.7516,                  2.411,                 2.1383,                0.55019,                0.41634,                0.41779,                0.21659,                 1.6845,                 2.0055,                  2.217,              0.0098891,              0.0098891,              0.0098891
                     58,                 1.7121,                 2.3609,                 2.1119,                0.61371,                0.35855,                0.43074,                 0.2262,                 1.6779,                 2.0173,                 2.1912,              0.0098871,              0.0098871,              0.0098871
                     59,                 1.7172,                 2.3178,                 2.1061,                0.47769,                0.44435,                0.39683,                0.19772,                 1.7326,                 2.0904,                 2.2673,              0.0098852,              0.0098852,              0.0098852
                     60,                 1.7093,                 2.3229,                 2.0698,                 0.5912,                0.36191,                0.38758,                0.18953,                 1.7743,                 2.0585,                 2.2913,              0.0098832,              0.0098832,              0.0098832
                     61,                 1.6938,                 2.3041,                  2.083,                0.55123,                0.36232,                0.40257,                0.19341,                 1.7681,                  2.139,                  2.301,              0.0098812,              0.0098812,              0.0098812
                     62,                 1.7164,                 2.3284,                 2.1113,                0.52499,                0.38821,                0.38964,                0.20021,                 1.7499,                 2.1207,                 2.2938,              0.0098792,              0.0098792,              0.0098792
                     63,                 1.6821,                 2.3289,                 2.0913,                0.61571,                0.41076,                0.45154,                0.24658,                  1.641,                 1.9493,                 2.1765,              0.0098772,              0.0098772,              0.0098772
                     64,                 1.6809,                 2.2644,                  2.084,                0.60161,                0.41029,                0.43364,                0.23169,                 1.6419,                 1.9608,                 2.1705,              0.0098753,              0.0098753,              0.0098753
                     65,                 1.6723,                 2.2357,                 2.0558,                0.62169,                  0.412,                 0.4503,                0.23937,                 1.6619,                  1.931,                 2.1621,              0.0098733,              0.0098733,              0.0098733
                     66,                 1.6992,                 2.2243,                 2.0635,                0.54531,                0.42382,                0.41918,                0.21976,                 1.6375,                 1.9722,                 2.1519,              0.0098713,              0.0098713,              0.0098713
                     67,                 1.6923,                 2.2502,                 2.0883,                0.61899,                0.39327,                0.44759,                0.24274,                 1.6059,                 1.9199,                 2.1279,              0.0098693,              0.0098693,              0.0098693
                     68,                 1.6788,                 2.1882,                 2.0394,                0.52334,                0.46583,                0.45453,                0.24147,                 1.6606,                   1.94,                 2.1698,              0.0098673,              0.0098673,              0.0098673
                     69,                 1.6608,                 2.1903,                 2.0566,                0.63889,                0.41548,                0.47135,                0.25643,                 1.6271,                 1.8511,                 2.1521,              0.0098654,              0.0098654,              0.0098654
                     70,                 1.6591,                 2.1923,                 2.0465,                0.72575,                0.41438,                0.48387,                0.24935,                 1.6159,                 1.8658,                  2.134,              0.0098634,              0.0098634,              0.0098634
                     71,                 1.6258,                  2.099,                  2.011,                0.63912,                0.42807,                0.46553,                0.24104,                 1.6741,                 1.8984,                 2.1994,              0.0098614,              0.0098614,              0.0098614
                     72,                 1.6531,                  2.169,                 2.0171,                0.64557,                 0.4707,                0.50662,                0.28009,                 1.5809,                 1.7484,                 2.0918,              0.0098594,              0.0098594,              0.0098594
                     73,                 1.6271,                 2.0932,                 2.0091,                0.64422,                0.42123,                0.48365,                0.26232,                 1.6314,                 1.8168,                 2.1328,              0.0098574,              0.0098574,              0.0098574
                     74,                 1.6547,                 2.1304,                 2.0337,                0.63433,                 0.4757,                0.49259,                0.25471,                 1.6646,                 1.8479,                 2.1495,              0.0098555,              0.0098555,              0.0098555
                     75,                 1.6755,                 2.1263,                 2.0295,                0.58798,                0.47385,                0.48862,                0.26026,                  1.628,                 1.8897,                 2.1275,              0.0098535,              0.0098535,              0.0098535
                     76,                 1.6388,                 2.1012,                 2.0011,                0.62931,                 0.4764,                0.50595,                0.28125,                 1.5649,                 1.7936,                 2.0594,              0.0098515,              0.0098515,              0.0098515
                     77,                 1.6411,                 2.0715,                 2.0061,                0.61368,                0.40372,                0.46753,                0.26359,                 1.5827,                 1.8431,                 2.0754,              0.0098495,              0.0098495,              0.0098495
                     78,                 1.6057,                 2.0501,                 1.9761,                0.64901,                 0.5045,                 0.5203,                0.29495,                 1.5433,                 1.7865,                  2.041,              0.0098475,              0.0098475,              0.0098475
                     79,                 1.6054,                 2.0635,                 1.9817,                0.64332,                0.51971,                0.54982,                0.31728,                 1.5362,                 1.7068,                 2.0292,              0.0098456,              0.0098456,              0.0098456
                     80,                 1.5979,                 2.0136,                 1.9699,                0.63345,                0.53352,                0.54038,                 0.3073,                 1.5356,                 1.6781,                 2.0208,              0.0098436,              0.0098436,              0.0098436
                     81,                 1.6055,                 2.0706,                 1.9859,                0.67671,                0.49441,                0.54592,                0.30932,                 1.5257,                 1.7385,                  2.021,              0.0098416,              0.0098416,              0.0098416
                     82,                 1.6051,                  2.031,                 1.9822,                 0.6983,                0.49161,                0.57932,                0.32309,                 1.5232,                 1.6096,                 2.0431,              0.0098396,              0.0098396,              0.0098396
